GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Coaster_manager,models,Employee,152,0,0,0,44,0,20,0,20,0
Coaster_manager,models,Attraction,38,50,0,0,16,8,11,2,11,2
Coaster_manager,models,Maintenance_Ticket,118,0,0,0,32,0,17,0,17,0
Coaster_manager,data,SQLDatabaseEmployees,392,0,10,0,92,0,11,0,6,0
Coaster_manager,data,SQLDatabaseExtAttractions,673,0,94,0,81,0,53,0,6,0
Coaster_manager,data,SQLDatabaseIntAttraction,673,0,94,0,81,0,53,0,6,0
Coaster_manager,data,SQLDatabaseMaintenance_Ticket,851,0,116,0,93,0,65,0,7,0
Coaster_manager,utils,ConnectionUtil,5,0,0,0,2,0,2,0,2,0
Coaster_manager,utils,PostgresConnectionUtil,34,0,0,0,12,0,3,0,3,0
Coaster_manager,servlets,MaintenanceTicketServlet,191,0,18,0,55,0,18,0,9,0
Coaster_manager,servlets,EmployeeServlet,569,0,16,0,121,0,13,0,5,0
Coaster_manager,servlets,AttractionsServlet,442,0,14,0,101,0,11,0,4,0
